State,School type,Grade,Which LLMs have you tried?,Which do you use use frequently?,How accessible are they for you?,What subjects have you used them for?,Which have you used LLMs for?,What have LLMs helped?,How often?,Does the version you use cost money?,"If paid, is it worth it?",AI ethics concern,Privacy concern,Strict school policies,Potential features and improvements,Has LLMs improved school work?
California,Public,8,"ChatGPT, Microsoft Bing",Microsoft Bing,Always (i.e. you own a personal de),History,"Summarizing text, Project ideas","Summarizing text, Project ideas",4-5 times per week,No,,4,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Protecting privacy and security better",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),"Math, English","Writing essays, emails, etc.","Writing essays, emails, etc., Science or math homework help",Rarely,No,,2,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing","Yes, but I didn't use an LLM on specifically school related activities"
California,Private,8,None,None,Always (i.e. you own a personal de),"History, English","Writing essays, emails, etc., Summarizing text, Project ideas","Writing essays, emails, etc., Project ideas",Rarely,No,,4,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, Understanding emotions",
California,Private,9,"ChatGPT, Google Gemini/Bard, Microsoft Bing",ChatGPT,Always (i.e. you own a personal de),None,"writing stories, synonyms, word definitions",articulating my thoughts & allowing me to use fancier words in my speech and writing,Once a week,No,1,2,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations","I think it has, but just a little."
California,Private,9,"ChatGPT, Microsoft Bing",None,Always (i.e. you own a personal de),Science,"Science or math homework help, Coding questions, Project ideas, googling stuff on edge and the bing ai just does it automatically",None,Rarely,No,1,3,1,4,actually correct answers,
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Math, Other Language","Writing essays, emails, etc., Creating study plans, Translating languages",None,Once a week,No,1,1,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Protecting privacy and security better",
California,Public,10,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,,4,5,4,"More correct answers, Better explanations, More natural at conversing",Nah
California,Private,9,ChatGPT,None,Always (i.e. you own a personal de),None,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,4,5,5,More correct answers,
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),"Math, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",2-3 times per week,No,,2,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos",Not by much
California,Private,8,ChatGPT,None,Always (i.e. you own a personal de),Math,None,None,Never,No,,3,3,4,More correct answers,no
California,Private,8,ChatGPT,ChatGPT,Always (i.e. you own a personal de),History,"Writing essays, emails, etc., Summarizing text, Project ideas, Translating languages","Writing essays, emails, etc., Summarizing text, Translating languages",2-3 times per week,No,,1,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
California,Public,11,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,,4,4,3,Protecting privacy and security better,
Texas,Private,9,None,,Always (i.e. you own a personal device),,,,,,,2,3,2,"Better at understanding complex questions, More correct answers, Better explanations, Protecting privacy and security better",
New York,Homeschooled,11,Doulingo,Doulingo,Always (i.e. you own a personal device),None,None,None,Rarely,No,,3,5,1,More natural at conversing,
Michigan,Public,12,ChatGPT,ChatGPT,Weekly (i.e. accessible at public places like libraries),"Math, English",Just for fun,Summarizing text,Rarely,No,,4,4,5,Better explanations,
Illinois,Private,7,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Math, Science",Science or math homework help,Science or math homework help,Once a week,No,,1,2,3,"Better explanations, More natural at conversing, Protecting privacy and security better",
Texas,Public,12,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal device),"Science, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Translating languages","Writing essays, emails, etc., Science or math homework help, Project ideas, Translating languages",Once a week,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, More natural at conversing",
Minnesota,Public,12,None,,Rarely,,,,,,,5,5,5,Protecting privacy and security better,
Texas,Public,9,Google Gemini/Bard,Google Gemini/Bard,Always (i.e. you own a personal device),Other Language,Translating languages,Translating languages,2-3 times per week,Yes,4,4,4,4,Protecting privacy and security better,
South Carolina,Public,10,None,,Daily (i.e. accessible only at school),,,,,,,3,5,5,"Work with pictures, sound, and videos, Better explanations",
Pennsylvania,Private,9,ChatGPT,None,Daily (i.e. accessible only at school),None,None,None,Rarely,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Kansas,Homeschooled,8,None,,Never,,,,,,,3,5,2,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, More natural at conversing, Protecting privacy and security better",
Utah,Public,7,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal device),"Math, History, English","Science or math homework help, Summarizing text, Creating study plans, Translating languages","Summarizing text, Project ideas, Translating languages",2-3 times per week,No,,3,4,5,"Better at understanding complex questions, Work with pictures, sound, and videos, Protecting privacy and security better",
New York,Public,11,"Microsoft Bing, CharacterAi",None,Always (i.e. you own a personal device),History,None,None,Rarely,No,,3,4,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
Tennessee,Public,11,None,,Rarely,,,,,,,3,5,3,"Better at understanding complex questions, Better explanations, More natural at conversing, Protecting privacy and security better",
Tennessee,Public,9,None,,Never,,,,,,,4,5,3,"Work with pictures, sound, and videos, More correct answers",
Mississippi,Public,9,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),"Math, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help",2-3 times per week,No,,1,2,4,"Better at understanding complex questions, Better explanations, More natural at conversing, Protecting privacy and security better",
Georgia,Public,11,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal device),English,"Summarizing text, Project ideas","Writing essays, emails, etc., Summarizing text",Once a week,No,,2,3,4,"Work with pictures, sound, and videos, More correct answers",
Louisiana,Public,12,None,,Always (i.e. you own a personal device),,,,,,,3,2,4,"Work with pictures, sound, and videos",
Utah,Public,8,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,3,4,4,"Better at understanding complex questions, More correct answers",
Louisiana,Private,10,None,,Always (i.e. you own a personal device),,,,,,,3,4,3,"Work with pictures, sound, and videos",
California,Public,12,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English, Gover","Science or math homework help, Summarizing text, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text, Creating study plans",Once a week,No,,2,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Pennsylvania,Public,6,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,1,5,5,"Better at understanding complex questions, Better explanations",
Oregon,Public,9,ChatGPT,None,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc.",Rarely,No,,2,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, Understanding emotions",
Georgia,Public,9,Microsoft Bing,Microsoft Bing,Always (i.e. you own a personal device),English,"Science or math homework help, Summarizing text","Summarizing text, Project ideas, Creating study plans",Once a week,No,,1,4,4,None,
Pennsylvania,Public,8,None,,Daily (i.e. accessible only at school),,,,,,,5,3,4,More natural at conversing,
California,Public,11,"Google Gemini/Bard, Microsoft Bing",Microsoft Bing,Weekly (i.e. accessible at public places like libraries),"History, English","Science or math homework help, Summarizing text, Translating languages","Writing essays, emails, etc., Summarizing text, Translating languages",Once a week,No,,4,5,4,"More correct answers, Protecting privacy and security better",
Ohio,Public,10,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Science, History, English","Science or math homework help, Summarizing text","Science or math homework help, Summarizing text, Coding questions, Translating languages",Daily,No,,2,2,2,More natural at conversing,
Massachusetts,Charter,9,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),biomedical science,"Summarizing text, ask a que",Summarizing text,Rarely,No,,3,4,5,"Better at understanding complex questions, More correct answers, Better explanations, Protecting privacy and security better",
Texas,Public,11,"Microsoft Bing, Translate,","Google, translate,",Always (i.e. you own a personal device),"Math, Other Language","Science or math homework help, Translating languages","Writing essays, emails, etc., Science or math homework help, Translating languages",Once a week,No,,5,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Washington,Public,10,ChatGPT,None,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Science or math homework help, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Translating languages",Rarely,No,,3,3,5,"Work with pictures, sound, and videos, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Arkansas,Public,10,"ChatGPT, Large Language Model Meta AI (Llama)",ChatGPT,Always (i.e. you own a personal device),"Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text",Summarizing text,Rarely,No,,3,4,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Protecting privacy and security better",
Pennsylvania,Charter,10,None,,Always (i.e. you own a personal device),,,,,,,3,5,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Alabama,Public,8,None,,Always (i.e. you own a personal device),,,,,,,1,5,5,More correct answers,
Mississippi,Public,11,"ChatGPT, Microsoft Bing",Microsoft Bing,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Summarizing text, Translating languages","Writing essays, emails, etc., Translating languages",2-3 times per week,No,,4,5,3,"Better at understanding complex questions, Better explanations, More natural at conversing, Protecting privacy and security better",
Michigan,Public,10,"ChatGPT, Google Gemini/Bard","ChatGPT, Google Gemini/Bard",Weekly (i.e. accessible at public places like libraries),"Science, History, English","Science or math homework help, Translating languages","Writing essays, emails, etc., Science or math homework help",Once a week,No,,4,3,3,"Work with pictures, sound, and videos, Better explanations",
Florida,Public,12,ChatGPT,ChatGPT,Daily (i.e. accessible only at school),"Math, History, English",Science or math homework help,"Science or math homework help, Summarizing text",Daily,No,,3,4,3,"Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
Kentucky,Public,11,None,,Daily (i.e. accessible only at school),,,,,,,5,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Nebraska,Public,8,Microsoft Bing,None,Never,None,None,None,Rarely,No,,1,1,1,Better at understanding complex questions,
Virginia,Homeschooled,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Creating study plans",4-5 times per week,Yes,3,2,1,2,"Better at understanding complex questions, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Georgia,Public,11,None,,Always (i.e. you own a personal device),,,,,,,3,5,4,None,
Massachusetts,Public,8,None,,Rarely,,,,,,,4,5,2,"Better at understanding complex questions, More correct answers, Better explanations, Understanding emotions, Protecting privacy and security better",
New Hampshire,Private,10,ChatGPT,"ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Summarizing text, Project ideas",Rarely,No,,2,5,5,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Illinois,Public,10,None,,Always (i.e. you own a personal device),,,,,,,3,4,4,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Colorado,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, History","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Rarely,No,,5,5,3,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Pennsylvania,Public,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"Math, Science, English, Other Language","Writing essays, emails, etc., Science or math homework help, Translating languages","Writing essays, emails, etc., Science or math homework help, Translating languages",Daily,No,,2,4,3,"Better at understanding complex questions, More correct answers, Protecting privacy and security better",
Tennessee,Public,10,ChatGPT,None,Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help",Daily,No,,3,4,3,Protecting privacy and security better,
New York,Public,10,"Google Gemini/Bard, Microsoft Bing",Google Gemini/Bard,Always (i.e. you own a personal device),"Math, Science","Writing essays, emails, etc., Science or math homework help, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help",2-3 times per week,Yes,4,3,4,2,"Work with pictures, sound, and videos, More correct answers, More natural at conversing, Understanding emotions, A lot of times, I’ll ask for the phrase to be at a schooling level, yet the AI will make it so much more complicated.",
Arizona,Public,11,None,,Daily (i.e. accessible only at school),,,,,,,3,4,3,"More correct answers, Better explanations, Understanding emotions",
New York,Public,10,None,,Never,,,,,,,3,5,1,"Better at understanding complex questions, More correct answers, Better explanations",
Louisiana,Public,10,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help",Once a week,No,,3,3,5,"Work with pictures, sound, and videos",
Michigan,Public,12,ChatGPT,None,Weekly (i.e. accessible at public places like libraries),"Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Translating languages",Daily,No,,1,3,5,None,
Virginia,Public,10,"ChatGPT, Microsoft Bing",None,Daily (i.e. accessible only at school),"Math, English, Other Language","Writing essays, emails, etc., Science or math homework help",Translating languages,2-3 times per week,No,,4,5,3,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Florida,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",4-5 times per week,No,,3,3,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
Michigan,Public,8,Duoli,Duoli,Always (i.e. you own a personal device),English,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Project ideas",Daily,Yes,2,1,5,2,"Work with pictures, sound, and videos, Better explanations",
Indiana,Public,12,ChatGPT,None,Always (i.e. you own a personal device),"Science, English",Science or math homework help,"Science or math homework help, Summarizing text",Once a week,No,,3,4,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Connecticut,Public,12,ChatGPT,None,Rarely,"Math, Science, English","Writing essays, emails, etc., Science or math homework help","Writing essays, emails, etc., Science or math homework help",Rarely,No,,4,4,5,"Work with pictures, sound, and videos, More correct answers, Better explanations",
Indiana,Public,12,Microsoft Bing,Microsoft Bing,Always (i.e. you own a personal device),"Science, English, Other Language","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Once a week,No,,5,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions",
Ohio,Public,7,"ChatGPT, Microsoft Bing",None,Daily (i.e. accessible only at school),English,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,3,5,4,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing",
Mississippi,Public,10,None,,Never,,,,,,,5,4,1,"Better at understanding complex questions, More correct answers, Better explanations, Protecting privacy and security better",
Michigan,Public,7,None,,Never,,,,,,,2,4,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
Louisiana,Private,12,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Google Gemini/Bard, Microsoft Bing",Always (i.e. you own a personal device),"History, English","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages",Daily,No,,3,3,2,None,
Florida,Private,9,None,,Never,,,,,,,1,5,5,"Better at understanding complex questions, Better explanations, Understanding emotions, Protecting privacy and security better",
New York,Public,10,"ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama)","ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal device),"Math, Science, History","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas",Once a week,No,,3,5,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Pennsylvania,Public,11,None,,Always (i.e. you own a personal device),,,,,,,1,3,1,None,
South Carolina,Public,11,ChatGPT,None,Always (i.e. you own a personal device),None,"Writing essays, emails, etc., Science or math homework help, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages",Rarely,No,,5,5,5,More correct answers,
California,Private,11,"ChatGPT, Microsoft Bing",None,Always (i.e. you own a personal device),Other Language,"Summarizing text, Project ideas, Creating study plans","Project ideas, Translating languages",Rarely,No,,4,5,5,None,
Florida,Public,9,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,3,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations",
Mississippi,Public,9,Microsoft Bing,goog,Always (i.e. you own a personal device),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Translating languages","Writing essays, emails, etc., Science or math homework help",2-3 times per week,No,,3,5,4,"More correct answers, More natural at conversing, Understanding emotions, Protecting privacy and security better",
North Carolina,Public,9,None,,Always (i.e. you own a personal device),,,,,,,2,2,2,None,
Alabama,Public,11,Google Gemini/Bard,Claude,Rarely,History,Creating study plans,Project ideas,Once a week,No,,3,5,5,"Better at understanding complex questions, More correct answers",
Colorado,Public,9,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,5,5,5,Better explanations,
Wyoming,Public,12,None,,Always (i.e. you own a personal device),,,,,,,4,5,4,Better explanations,
Kansas,Public,9,Large Language Model Meta AI (Llama),None,Always (i.e. you own a personal device),None,None,None,Once a week,No,,3,5,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Georgia,Public,12,Microsoft Bing,None,Always (i.e. you own a personal device),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",Once a week,No,,3,3,3,"Work with pictures, sound, and videos, More natural at conversing, Understanding emotions",
Connecticut,Public,9,Google Gemini/Bard,Google Gemini/Bard,Daily (i.e. accessible only at school),"History, English","Writing essays, emails, etc., Summarizing text, Creating study plans","Writing essays, emails, etc., Summarizing text, Creating study plans",2-3 times per week,No,,3,3,2,None,
Ohio,Private,11,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Google Gemini/Bard, Microsoft Bing",Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",Daily,No,,3,4,3,Better explanations,
Kansas,Public,8,None,,Never,,,,,,,1,5,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",
Ohio,Public,12,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Writing essays, emails, etc., Summarizing text, Project ideas",2-3 times per week,No,,2,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Colorado,Public,12,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, English","Writing essays, emails, etc., Science or math homework help, Project ideas","Writing essays, emails, etc., Science or math homework help, Project ideas",2-3 times per week,No,,3,2,2,"Better at understanding complex questions, Work with pictures, sound, and videos",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,2,2,4,"Better at understanding complex questions, Better explanations",
Connecticut,Public,7,None,,Rarely,,,,,,,1,3,2,"Work with pictures, sound, and videos, More correct answers, More natural at conversing",
Missouri,Private,7,None,,Always (i.e. you own a personal device),,,,,,,4,5,4,More natural at conversing,
Virginia,Public,9,None,,Rarely,,,,,,,3,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Understanding emotions",
Oregon,Public,10,ChatGPT,ChatGPT,Weekly (i.e. accessible at public places like libraries),"Math, Science, History","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",2-3 times per week,No,,2,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Pennsylvania,Public,8,None,,Daily (i.e. accessible only at school),,,,,,,1,4,3,None,
California,Public,10,Microsoft Bing,None,Rarely,"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",Translating languages,Rarely,No,,1,5,3,Better at understanding complex questions,
Illinois,Public,10,"ChatGPT, Microsoft Bing","ChatGPT, Google Gemini/Bard, Microsoft Bing",Always (i.e. you own a personal device),"Math, Science, Computer Science, History","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions","Writing essays, emails, etc., Science or math homework help, Summarizing text",Daily,No,,5,5,1,"Better at understanding complex questions, Better explanations, More natural at conversing, Protecting privacy and security better",
Colorado,Public,7,ChatGPT,None,Always (i.e. you own a personal device),None,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,2,3,3,More correct answers,
New York,Public,11,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Math, Computer Science, Other Language","Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages","Creating study plans, Translating languages",Once a week,No,,2,1,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
Texas,Public,10,"ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama)","ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama)",Always (i.e. you own a personal device),"Science, Computer Science",None,None,Rarely,No,,1,4,3,"Better at understanding complex questions, Understanding emotions",
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, History","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas",4-5 times per week,No,,2,2,4,"Better explanations, More natural at conversing",
New Mexico,Public,10,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science","Science or math homework help, Summarizing text","Science or math homework help, Summarizing text, Project ideas",Daily,No,,3,4,5,None,
California,Charter,9,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Translating languages",Daily,No,,1,5,5,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing, Protecting privacy and security better",
Nebraska,Public,12,ChatGPT,None,Always (i.e. you own a personal device),"Math, History, English","Writing essays, emails, etc., Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help, Summarizing text",Once a week,No,,3,2,5,"Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
Alabama,Public,9,None,,Always (i.e. you own a personal device),,,,,,,3,3,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Arizona,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal device),"Math, History, English","Writing essays, emails, etc., Science or math homework help","Writing essays, emails, etc., Science or math homework help",2-3 times per week,No,,3,4,5,"Better at understanding complex questions, More correct answers, Better explanations",
Missouri,Public,7,Microsoft Bing,Microsoft Bing,Rarely,English,"Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Once a week,No,,3,3,3,"Better explanations, Protecting privacy and security better",
Iowa,Public,11,"Microsoft Bing, Character ai",Microsoft Bing,Always (i.e. you own a personal device),"Math, Science",Science or math homework help,"Science or math homework help, Summarizing text",Daily,No,,1,4,3,"Better at understanding complex questions, Better explanations, More natural at conversing, Understanding emotions",
Illinois,Public,11,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal device),"Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text",4-5 times per week,No,,3,2,4,"Better at understanding complex questions, Better explanations, Protecting privacy and security better",
New York,Public,9,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages",2-3 times per week,No,,2,4,3,"Work with pictures, sound, and videos, More correct answers, Better explanations",
New York,Private,8,None,,"Other (key in), I don't use any",,,,,,,4,5,2,"Better at understanding complex questions, Work with pictures, sound, and videos, More natural at conversing, Understanding emotions",
California,Public,10,None,,Always (i.e. you own a personal device),,,,,,,3,4,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions",
Indiana,Public,10,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,2,5,2,"Work with pictures, sound, and videos",
California,Public,10,ChatGPT,None,Always (i.e. you own a personal device),None,"Coding questions, Translating languages","Science or math homework help, Coding questions, Translating languages",Rarely,No,,5,2,3,None,
Pennsylvania,Private,8,None,,Always (i.e. you own a personal device),,,,,,,4,4,5,Protecting privacy and security better,
New York,Private,11,ChatGPT,Large Language Model Meta AI (Llama),Rarely,"History, English","Writing essays, emails, etc., Summarizing text, Coding questions, Translating languages","Writing essays, emails, etc., Summarizing text, Translating languages",Once a week,No,,3,4,3,"Better at understanding complex questions, More correct answers, Better explanations, More natural at conversing",
Idaho,Public,9,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal device),"Math, Science, History, English","Writing essays, emails, etc., Science or math homework help, Project ideas, Creating study plans","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans",Daily,No,,5,4,2,Protecting privacy and security better,
Rhode Island,Public,9,None,,Daily (i.e. accessible only at school),,,,,,,4,4,2,"Better at understanding complex questions, Better explanations, More natural at conversing",
Missouri,Public,9,None,,Weekly (i.e. accessible at public places like libraries),,,,,,,4,4,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
Illinois,Public,12,None,,Never,,,,,,,5,5,3,"Better at understanding complex questions, Work with pictures, sound, and videos, Understanding emotions",
